129	0	5
508	1	5
474	2	4
23	3	5
129	4	4
289	5	4
36	6	4
41	7	4
147	8	4
401	9	4
238	10	5
255	11	5
103	12	4
28	13	4
255	14	4
37	15	4
46	16	4
147	17	5
508	18	4
674	19	4
0	20	4
0	21	4
0	22	4
0	23	5
0	24	5
0	25	4
0	26	5
0	27	5
0	28	4
0	29	4
0	30	4
0	31	5
0	32	5
1	33	5
2	34	4
2	35	4
2	36	4
2	37	4
2	38	4
2	39	5
2	40	5
2	41	5
2	42	4
2	43	4
3	44	4
3	45	4
3	46	4
3	47	5
3	48	4
3	49	5
3	50	5
3	51	5
3	52	4
3	53	5
3	54	4
3	55	4
3	56	4
3	57	5
4	58	5
4	59	4
4	60	4
4	61	5
4	62	5
4	63	4
4	64	5
4	65	4
4	66	4
4	67	4
4	68	5
4	69	4
4	70	4
4	71	5
5	72	4
5	73	4
5	74	4
5	75	5
5	76	4
5	77	4
5	78	4
5	79	4
5	80	5
5	81	5
6	82	4
6	83	4
6	84	5
6	85	5
6	86	5
6	87	5
6	88	5
6	89	5
6	90	5
6	91	5
6	92	4
7	93	4
7	94	5
7	95	4
7	96	5
7	97	5
7	98	5
7	99	5
7	100	4
7	101	4
7	102	5
7	103	4
8	104	4
8	105	5
8	106	5
8	107	4
8	108	4
8	109	5
8	110	4
8	111	5
8	112	5
8	113	5
8	114	5
9	115	4
9	116	4
9	117	4
10	118	4
10	119	5
10	120	5
10	121	5
10	122	4
10	123	4
10	124	5
10	125	5
10	126	4
11	127	5
11	128	4
11	129	4
11	130	5
11	131	4
11	132	4
11	133	5
11	134	5
11	135	4
11	136	5
11	137	5
12	138	5
12	139	5
12	140	5
12	141	5
12	142	4
12	143	4
12	144	5
12	145	4
12	146	4
12	147	5
12	148	4
12	149	5
12	150	5
12	151	5
12	152	5
12	153	5
13	154	4
13	155	4
13	156	5
13	157	4
13	158	5
13	159	4
13	160	5
13	161	5
13	162	5
13	163	5
13	164	4
13	165	5
13	166	4
14	167	5
14	168	4
14	169	5
14	170	4
14	171	4
14	172	4
14	173	4
14	174	4
