# epoch	train_loss	dev_loss	dev_score	best_dev_score
5	0.043383	0.2403	0.2403
new best model saved at epoch 5: 9.40	19.13	31.30	24.03
10	0.023195	0.2670	0.2670
new best model saved at epoch 10: 12.14	20.85	34.30	26.70
15	0.020655	0.2438	0.2670
20	0.018437	0.2589	0.2670
25	0.016402	0.2852	0.2852
new best model saved at epoch 25: 12.91	22.52	37.57	28.52
30	0.015507	0.3059	0.3059
new best model saved at epoch 30: 13.75	24.28	40.64	30.59
35	0.016551	0.2688	0.3059
40	0.013895	0.2822	0.3059
45	0.012581	0.2753	0.3059
50	0.013817	0.2704	0.3059
55	0.011814	0.2591	0.3059
60	0.010599	0.2700	0.3059
65	0.011637	0.2286	0.3059
70	0.010186	0.2757	0.3059
75	0.009872	0.2614	0.3059
80	0.009808	0.2620	0.3059
85	0.009851	0.2650	0.3059
90	0.008827	0.2514	0.3059
95	0.009106	0.2436	0.3059
100	0.008988	0.2626	0.3059
105	0.008709	0.2342	0.3059
110	0.008295	0.2589	0.3059
115	0.008079	0.2448	0.3059
120	0.007690	0.2394	0.3059
125	0.009978	0.2772	0.3059
130	0.007771	0.2743	0.3059
135	0.007896	0.2564	0.3059
140	0.007759	0.2179	0.3059
145	0.007499	0.2521	0.3059
150	0.007375	0.2525	0.3059
155	0.007509	0.2715	0.3059
160	0.007102	0.2519	0.3059
165	0.006676	0.2461	0.3059
170	0.007292	0.2394	0.3059
175	0.006940	0.2635	0.3059
180	0.006589	0.2424	0.3059
185	0.007305	0.2570	0.3059
190	0.007053	0.2788	0.3059
195	0.006894	0.2480	0.3059
200	0.006766	0.2650	0.3059
205	0.006670	0.2587	0.3059
210	0.006764	0.2737	0.3059
215	0.006785	0.2619	0.3059
220	0.006571	0.2674	0.3059
225	0.006328	0.2220	0.3059
230	0.006214	0.2579	0.3059
235	0.005979	0.2385	0.3059
240	0.007218	0.2272	0.3059
245	0.006233	0.2356	0.3059
250	0.006123	0.2440	0.3059
255	0.006263	0.2628	0.3059
260	0.006175	0.2569	0.3059
265	0.006110	0.2222	0.3059
270	0.006058	0.2517	0.3059
275	0.006010	0.2519	0.3059
280	0.006210	0.2578	0.3059
285	0.006035	0.2511	0.3059
290	0.005682	0.2563	0.3059
295	0.005823	0.2575	0.3059
300	0.005586	0.2551	0.3059
305	0.005694	0.2085	0.3059
310	0.005427	0.2583	0.3059
315	0.005456	0.2435	0.3059
320	0.005705	0.2659	0.3059
325	0.005549	0.2713	0.3059
330	0.005746	0.2229	0.3059
335	0.005222	0.2359	0.3059
340	0.005631	0.2205	0.3059
345	0.005471	0.2198	0.3059
350	0.005190	0.2617	0.3059
355	0.005378	0.2333	0.3059
360	0.005283	0.2532	0.3059
365	0.005523	0.2522	0.3059
370	0.005268	0.2739	0.3059
375	0.005296	0.2503	0.3059
380	0.005064	0.2844	0.3059
385	0.005499	0.2420	0.3059
390	0.005196	0.2438	0.3059
395	0.005332	0.2613	0.3059
400	0.005067	0.2356	0.3059
405	0.005458	0.2331	0.3059
410	0.005217	0.2564	0.3059
415	0.005231	0.2291	0.3059
420	0.004842	0.2376	0.3059
425	0.005148	0.2459	0.3059
430	0.004614	0.2316	0.3059
435	0.005112	0.2383	0.3059
440	0.004768	0.2412	0.3059
445	0.005017	0.2658	0.3059
450	0.005203	0.2291	0.3059
455	0.005067	0.2402	0.3059
460	0.005168	0.2426	0.3059
465	0.005155	0.2675	0.3059
470	0.004715	0.2210	0.3059
475	0.006388	0.2410	0.3059
480	0.004945	0.2297	0.3059
485	0.005011	0.2535	0.3059
490	0.004968	0.2512	0.3059
495	0.004635	0.2308	0.3059
500	0.005014	0.2718	0.3059
